Test loss: 8.068319320678711, accuracy: 0.0
Test loss: 5.614644527435303, accuracy: 0.0
Test loss: 3.5557548999786377, accuracy: 0.07666666666666666
Test loss: 4.12913179397583, accuracy: 0.04
Test loss: 2.239600419998169, accuracy: 0.13333333333333333
Test loss: 2.20634126663208, accuracy: 0.12
Test loss: 2.102372169494629, accuracy: 0.12
Test loss: 1.6360312700271606, accuracy: 0.22333333333333333
Test loss: 2.6720423698425293, accuracy: 0.14333333333333334
Test loss: 2.797053575515747, accuracy: 0.02
Test loss: 1.952291488647461, accuracy: 0.13666666666666666
Test loss: 2.246638536453247, accuracy: 0.17666666666666667
Test loss: 2.560248613357544, accuracy: 0.48333333333333334
Test loss: 0.4524746835231781, accuracy: 0.48
Test loss: 1.7487953901290894, accuracy: 0.3233333333333333
Test loss: 1.5839855670928955, accuracy: 0.5466666666666666
Test loss: 0.5098643898963928, accuracy: 0.5633333333333334
